0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225
11.042816	7.688554	4.821799	9.92355	9.035272	9.727552	7.381882	11.07491	10.425615	10.016264	10.687249	9.014723	9.440729	8.244989	11.507698	9.914398	10.834625	7.38629	9.367903	10.207369	7.671589	10.117789	10.422109	11.810449	11.137537	9.512143	10.381571	8.823744	9.066685	10.319934	10.553759	7.806486	9.650398	9.487354	7.93353	11.500594	8.975745	6.102796	8.845632	8.281776	9.703259	10.360907	10.388518	7.196046	7.344096	8.119106	6.488858	9.386298	8.938137	8.757532	7.664892	9.856337	8.070291	9.557819	6.419029	7.027479	10.325407	10.29074	9.174354	10.205415	9.324006	10.520315	6.199962	7.527636	10.343949	8.040271	8.391816	6.361004	9.979966	5.946985	6.368871	9.10419	7.110571	6.82254	8.709436	7.960915	8.228097	7.999999	8.947991	6.723949	8.784032	6.76924	5.713668	7.654099	7.582229	6.619751	6.669248	6.783086	7.112794	6.271524	9.39951	8.833598	6.34985	6.020493	6.259225	6.370803	5.8505	8.023298	9.033908	7.117912	11.019785	8.221202	10.804906	9.894593	8.379148	10.378178	8.343487	8.39892	7.527845	6.844778	9.52783	4.382573	4.57264	9.340376	8.354169	5.551126	6.141914	8.752033	11.455024	8.162837	8.317456	9.138089	6.715071	9.45575	9.275189	8.409704	6.584082	7.41588	10.722588	6.343724	7.537541	10.371485	9.453596	7.552654	8.492135	9.284555	10.020385	6.26912	9.683757	7.709504	9.572872	7.318583	11.339348	5.689907	6.613565	6.294496	7.876067	8.525676	8.405956	6.700583	6.855717	7.579946	6.761154	8.921444	6.26122	10.370589	9.992622	9.371778	8.523761	8.133242	8.770953	8.250291	8.868288	9.209478	8.665016	8.975085	8.319558	6.378795	7.428721	6.223318	9.079327	9.288692	6.680868	6.796387	7.495367	9.159343	8.584359	9.160747	8.863829	9.826198	7.779575	7.754501	7.865154	8.347714	9.298992	7.662	6.785028	9.268856	9.525097	7.03968	10.49474	9.405174	8.20849	7.566482	7.538957	7.95543	9.489828	9.276266	8.922843	8.901885	6.357701	6.07531	9.511105	5.354374	5.497402	4.652332	7.772733	5.397177	7.688117	9.101514	6.056346	12.478155	9.405907	6.87947	5.738121	7.426159	4.401316	8.949845	7.397584	7.335804	5.638628	9.451105	5.819267	9.789588	4.713378	6.348785
6.850614	7.524112	10.905461	11.435457	10.353991	8.011073	6.686817	10.195675	8.539903	9.621417	9.691619	9.544343	10.130897	9.836646	10.027309	8.747871	13.20945	8.825137	7.659445	9.033043	8.945309	9.288369	11.081133	7.647594	7.018864	7.657242	8.997862	7.993761	7.599442	8.154395	10.38499	8.188447	8.373116	9.189068	7.734468	9.204482	8.589861	7.582725	9.596453	8.738506	9.245695	7.916788	9.306254	6.858854	6.873156	8.324173	6.053381	10.286992	9.707711	8.242171	6.848992	9.652624	7.470505	8.919669	7.561169	9.738719	8.640739	11.378601	5.983198	7.976486	7.528098	8.826838	8.582061	6.112148	11.698426	7.794163	7.978222	8.659799	9.934384	5.796656	12.044187	7.662318	8.282669	9.830491	8.392309	7.433857	7.68119	8.207649	9.086119	7.014948	6.712464	11.60885	8.249192	7.234079	7.838963	7.844865	8.55925	7.439694	7.406166	6.194278	8.641182	6.970708	6.865355	6.384938	7.304862	6.623362	6.763163	7.852019	8.554154	7.666819	9.056085	7.70823	10.150186	8.702774	9.323247	12.330387	8.538811	9.329244	9.556903	7.230726	8.154515	6.307122	6.503516	7.171294	7.973175	9.47836	9.122762	12.315567	12.961941	8.338999	7.722191	9.937991	7.629351	8.509107	9.457076	7.658802	7.275219	7.602842	9.722621	6.121121	8.424832	8.300016	7.569789	6.705257	7.662272	11.40386	10.426799	9.777187	7.970089	7.230132	7.71926	7.783147	10.704168	6.509078	6.884967	6.557446	10.116579	11.042781	7.649727	7.401741	7.506555	10.386871	7.894434	9.117806	8.795631	8.475027	10.03932	8.590364	11.81776	7.541759	7.924769	7.490673	6.778933	8.421466	7.770275	8.027849	9.443444	7.231929	6.33152	6.536412	7.968481	7.049116	6.924833	10.977721	6.702093	7.524851	9.169757	6.978264	7.462895	7.184467	7.395456	7.807571	9.618773	9.095345	7.707201	8.9349	7.577785	8.260636	8.528154	6.277258	8.121322	9.40932	7.644641	7.263943	8.563336	9.415168	7.132222	9.820879	6.802755	6.995949	8.1853	11.32247	8.680569	7.345512	5.878483	7.486462	9.482559	4.76552	10.090776	6.397435	9.955826	7.465841	7.441312	7.701683	5.68086	8.058037	7.070171	7.897646	6.88547	7.709666	5.68073	6.248206	6.305488	7.627487	8.302805	6.736209
5.783174	8.681249	10.967099	7.368711	10.697843	7.654808	7.4487	10.102994	9.373286	10.043666	10.204733	10.052908	7.467322	9.723687	10.282639	9.266824	12.688561	7.908901	7.697989	8.833485	8.618448	8.715891	10.983032	6.932587	6.570459	7.425447	9.47405	7.899044	8.38503	9.271368	9.864602	8.727614	7.077186	9.552555	7.879391	8.747008	7.938235	12.036623	8.594948	8.551419	8.752498	8.223761	9.321064	6.436232	6.925213	7.726596	8.229789	7.853291	7.90916	8.063597	5.987939	9.94094	7.326824	8.283762	9.379427	11.172449	9.515531	9.095739	6.029462	8.186846	7.234582	8.99527	8.507748	6.13888	11.871925	5.929939	6.807125	9.973771	10.795228	7.491981	8.511115	7.740847	8.714245	9.87672	8.323234	7.183326	8.300486	7.781168	8.864027	6.900922	6.135856	10.272076	12.526631	6.815629	7.819367	8.507441	7.657063	7.668368	7.229322	7.040981	8.760371	7.475896	6.725241	7.022046	7.909949	6.56817	6.869501	8.107727	8.003126	7.312026	8.44454	7.709508	10.291977	8.900803	9.636581	11.022193	9.093314	10.001453	9.158408	8.059119	8.37219	7.981875	7.781362	6.988389	8.598484	9.615802	9.588003	12.076229	13.487393	9.559378	7.387797	8.587659	7.973535	8.098239	8.00331	7.682743	7.626249	7.147168	9.302548	6.010033	8.81417	8.762544	7.398891	6.904623	7.376094	11.333748	9.930747	10.568876	7.626778	6.636423	7.404205	7.375413	10.515837	6.807641	6.780915	6.815523	11.523951	10.226999	8.562541	7.811047	7.810471	11.523544	8.109589	8.696656	10.41763	7.659375	8.939185	8.841718	10.864518	7.163427	7.747337	6.972111	7.681816	7.359451	7.269521	8.383478	7.570839	10.511953	5.992887	8.482244	7.886041	7.1843	5.854134	9.961493	6.37087	7.961866	7.488851	7.037826	8.54785	7.087298	7.695456	7.78928	11.296808	9.162694	8.005311	9.255102	7.900113	7.642454	8.278202	6.475841	7.337811	10.214667	7.604958	8.109526	8.622404	9.507647	7.373441	8.129552	7.695675	6.683367	7.662182	11.122466	8.032031	7.793166	8.703784	6.200191	8.606767	6.514964	9.121534	7.437088	9.49924	6.472439	6.767475	7.809754	8.324672	6.723456	7.048444	7.329714	6.550871	6.997758	6.053201	6.34816	6.83881	7.321263	7.526037	7.112183
11.315491	8.749564	5.005001	9.664741	7.855316	8.167532	6.452061	10.580315	9.622991	10.929419	9.98666	9.138342	9.815337	8.513524	10.896822	8.809214	11.23944	7.525847	8.582595	10.134955	8.395078	10.029178	10.696182	9.960281	9.746899	8.014787	10.351474	7.852558	8.796776	9.529271	9.926885	8.166201	9.850459	9.569401	7.795117	9.40788	9.026732	6.647321	8.678039	8.066429	9.064659	8.896515	10.023205	7.287927	6.841994	7.79842	8.369488	9.046041	8.631029	8.21351	7.179788	9.59373	8.024154	9.248687	7.004651	6.769079	9.873897	9.173976	8.620111	9.28508	8.915833	9.266963	7.169351	6.677926	9.976577	6.043741	7.171261	6.058788	7.908791	5.83114	6.309675	8.568682	7.781583	7.057675	7.741078	6.955627	8.148743	8.320143	8.728933	6.560332	7.711982	6.410504	5.936149	7.043452	7.759159	7.26585	8.308778	7.447606	7.177914	6.707539	9.681253	8.354606	6.542058	6.358324	7.285843	6.20075	7.376413	8.02358	7.907499	7.176748	9.73149	7.757385	10.478255	10.563875	8.665041	9.852062	9.447078	8.417857	8.868442	9.127838	8.756354	4.898223	5.186024	9.04628	8.314179	4.393163	5.382479	7.23631	12.209426	9.418569	7.543827	8.397737	6.69953	9.043824	8.303502	8.128362	6.671226	6.693727	10.252428	6.11516	9.970706	9.438143	8.356395	7.373779	7.983594	10.223397	10.793281	7.340504	7.844669	7.863504	9.660747	7.072635	11.00466	5.694943	6.362237	6.083755	7.521445	8.525753	8.095193	6.9497	6.754875	7.645129	6.900377	9.757384	8.347666	8.479743	10.179402	9.365189	9.139531	7.522831	9.069565	7.865097	9.382849	8.397704	7.968329	9.651362	9.030679	7.328072	6.750417	6.44517	8.230255	8.364164	6.50228	6.821665	8.637928	8.07653	8.889012	7.599343	9.177103	8.326249	7.607016	8.120818	10.092422	9.096771	7.739903	7.176217	6.418632	7.603254	9.804494	6.595887	9.870273	9.836497	7.269228	7.054269	7.981248	8.583043	10.079359	7.904143	8.284386	8.545325	7.187555	7.391313	8.493168	5.777021	5.651183	5.013425	7.195526	6.012415	6.339516	9.12602	6.474871	11.932908	9.061235	7.226348	6.439782	9.097316	4.477562	8.193547	7.029619	7.713904	5.097265	8.002004	5.721243	9.643515	4.453097	6.405442
6.899959	7.61268	11.110642	7.310598	8.313316	7.295326	8.174899	10.71747	9.817797	10.904808	10.034516	10.31746	7.65496	9.719017	10.956769	8.515536	12.880672	8.68872	8.074321	9.668698	8.679598	9.332253	11.454155	8.550616	8.091849	8.236587	9.318029	8.606243	8.496092	9.361086	9.589861	6.865031	7.92276	8.996259	7.679232	8.737441	8.438097	11.019911	9.30822	8.969172	9.851471	9.023234	9.721229	7.226178	7.591342	8.164823	7.41701	8.33268	8.336262	7.662026	6.597287	9.263659	7.446476	8.986258	9.08592	10.081401	9.099951	10.052159	6.939269	8.230946	7.673475	9.115125	8.140689	5.708857	12.122931	5.932135	6.736953	8.973788	7.900323	6.265705	10.59493	8.556983	7.363837	9.892665	8.344685	7.917534	9.164606	8.788304	8.850249	5.85144	7.437901	12.176116	10.858348	7.091253	7.601333	7.006715	5.742134	6.797695	7.008219	7.891944	8.961433	6.477421	6.550952	6.029225	6.920709	6.315792	6.366475	7.545725	7.615531	7.227637	8.913198	7.680437	10.698302	9.104922	8.88803	11.934011	9.668324	8.480552	10.21212	8.730572	8.746922	6.514884	6.436999	7.343188	7.845495	9.451174	9.58906	12.092258	11.37718	8.921482	8.316518	9.958892	6.997175	8.041072	8.002244	7.581048	6.874009	7.824775	10.036327	6.086966	8.950779	9.965067	7.347575	6.842534	7.597979	11.564131	10.311085	10.267417	9.176488	6.826609	7.613391	7.474623	11.013123	5.972	6.458053	5.875148	10.35403	10.643357	8.489926	8.279111	7.177	10.526695	7.067602	10.510448	7.161361	8.656297	9.303682	8.786713	11.455365	7.739069	9.567891	7.655828	7.460341	7.898346	7.283177	8.134849	9.019919	8.525639	6.249842	8.163778	7.779926	7.446161	6.085118	10.909713	6.528509	7.849834	8.806003	8.025098	8.349325	7.363811	7.731551	8.394886	8.391503	8.903483	8.170963	9.764692	8.448844	8.34377	8.428136	6.335942	7.488475	9.380047	7.788405	7.893245	9.479323	9.116942	9.041994	10.048527	7.462254	6.554774	7.417408	11.095246	8.578619	8.679022	6.703679	7.529036	8.386195	7.375211	8.522685	6.625819	8.789548	6.393366	7.479761	7.559582	7.980233	7.867012	7.042089	7.964311	7.097898	6.873219	6.513657	5.857455	6.560054	7.311683	7.139126	6.716425
6.022176	6.955606	9.438862	8.309851	9.873035	7.92331	6.107006	10.189501	9.014744	9.114078	10.116747	10.786684	8.252342	11.241102	9.884532	8.612414	12.48384	7.728617	7.648701	8.930908	8.707086	9.651699	10.458447	7.263589	6.975355	8.136468	9.192541	8.335637	7.917934	8.937897	10.412606	8.051186	7.42398	8.761506	7.822171	9.674185	8.109902	8.414793	8.874415	8.597884	8.731909	8.647902	10.215515	6.423296	7.002989	7.852789	6.892892	8.487008	8.579556	7.842829	7.030756	9.138841	8.788534	8.594485	6.102372	10.351116	8.230301	9.208429	6.049552	8.505022	7.667001	10.037525	7.492084	6.05685	10.792806	6.62163	7.120852	9.423695	9.945359	6.094855	10.60555	7.730042	9.167292	9.685183	8.067953	7.552754	7.003426	7.993198	8.462322	7.417302	7.180473	10.063929	10.200178	6.909861	9.220283	8.774937	9.502077	8.199059	7.851517	6.393756	8.198938	7.739429	7.082032	7.485525	7.478049	6.830546	5.955751	7.365266	8.587766	7.393108	9.423398	7.426633	9.799275	10.063693	8.349867	11.969838	8.825039	8.12892	8.840238	8.429225	8.676954	6.812276	7.277224	7.333743	7.477084	9.353633	8.676079	12.163491	12.062056	8.581551	7.617765	9.218012	8.282871	8.288998	8.606775	7.07641	7.958066	7.450027	9.763738	6.465932	8.570932	8.778702	8.26625	6.723523	7.882957	11.275868	9.761506	8.431841	7.530324	7.042496	7.727619	7.538252	10.844045	6.636401	7.122124	7.310466	10.664956	10.302166	8.2343	7.415348	8.336303	10.866623	8.106758	8.411903	9.785401	7.977134	9.165303	8.832631	10.816025	6.732082	7.841478	7.534389	6.968234	8.348632	7.645147	8.065775	8.649231	7.040274	6.48587	6.387334	7.642393	7.782617	7.274227	10.146591	6.316767	8.124338	7.809371	7.257129	7.331541	7.470176	7.532655	7.890066	10.598847	8.563476	8.003463	8.540691	7.452263	8.690424	8.103488	7.02915	7.628899	9.874988	7.385747	7.531181	7.821988	9.0621	6.428106	8.976779	7.527968	6.733226	7.702976	10.25852	7.66013	5.629872	8.60128	5.854621	8.143713	5.398401	9.361733	6.425984	7.51448	7.204112	8.333315	6.966407	9.165161	6.751069	4.961352	7.151384	6.912737	9.190022	5.736296	6.851969	6.30815	7.1415	7.43197	6.949031
5.732688	9.329857	8.530415	6.343618	11.792819	7.072707	5.964033	10.508735	9.202666	8.482381	9.218046	10.966064	6.323436	9.389212	10.657122	8.116526	11.69262	8.650436	7.671068	8.550839	7.383414	8.713715	10.581527	8.806978	8.207151	6.88145	8.787007	7.467441	7.793751	8.67375	9.172621	6.997087	6.867025	9.210448	8.299785	8.839984	7.79793	7.690379	8.958599	8.931515	8.269345	7.424138	8.571866	7.030307	7.473224	7.417423	6.865357	7.266658	7.590237	7.357444	6.273391	9.096607	7.365646	7.952518	6.988663	9.071062	7.958077	9.050646	6.105363	6.850018	6.938104	8.310456	8.158163	6.118047	10.295613	6.404984	6.873444	7.985039	10.151824	6.105324	10.08312	6.470241	8.966833	9.831698	7.433601	7.094919	6.62086	7.43207	7.711476	7.118339	6.074565	9.47027	8.087457	6.637102	8.330877	8.535402	9.020002	8.290816	7.382155	7.388573	8.672496	6.632606	7.809017	6.773956	8.244252	7.070402	6.189968	7.218606	9.086972	7.635938	7.630255	6.525211	9.724674	8.658373	8.905893	11.126531	10.580413	8.72298	10.627513	8.872929	7.544894	6.180148	6.607022	6.570391	7.902781	8.233609	8.188999	11.225699	12.900367	10.300468	6.99009	8.286968	8.133969	7.385362	7.281992	7.892764	7.80386	7.980395	9.480685	6.365775	9.182556	9.446786	7.252565	6.129694	7.273897	11.12728	10.101767	9.879283	7.2247	6.63471	7.573912	7.701045	10.472735	7.316392	7.132625	6.958245	9.712804	10.83008	7.04459	7.898637	8.094859	9.838338	8.16353	9.030178	10.390535	7.002184	8.506296	8.437857	11.916952	6.590323	7.978131	6.848801	6.087297	6.866069	6.965447	7.365391	7.372233	7.641153	6.113046	7.110359	7.363773	5.99461	6.220723	10.707434	6.078375	7.444954	7.338264	6.146008	7.226435	6.752303	6.754299	7.489591	11.077159	8.43226	6.651843	8.102487	7.681737	7.259874	7.601848	5.91057	6.544698	9.700994	7.079424	7.624325	7.190596	8.960111	7.001887	7.082096	6.821967	6.165975	7.861353	10.52949	6.801158	7.955954	6.110493	5.776096	7.938291	6.946523	8.441875	6.733046	8.437308	6.62328	6.910947	7.57971	6.39239	6.388932	5.712734	6.755195	6.340636	6.585085	5.532762	6.815586	5.907306	7.678383	7.38698	6.37632
6.346508	7.987329	10.029587	8.114736	9.542428	7.64941	5.887462	9.940866	9.580125	9.418034	9.35453	9.050122	7.695236	9.538928	10.482991	8.815895	13.128865	8.936683	7.689986	8.949234	9.154843	8.752538	10.274496	8.526327	7.689417	8.048386	8.853513	8.304431	8.244668	8.623242	9.44708	7.370915	7.289804	9.420294	7.473827	8.812417	8.187576	8.120489	9.103223	8.311156	8.215203	8.25989	9.044387	6.401281	7.009816	7.876684	7.005301	7.699455	7.421604	7.417485	6.197129	8.899203	7.008687	8.616999	7.836759	7.356423	8.122071	8.49661	6.66638	8.089875	6.690933	8.197922	6.996118	6.188037	10.770087	7.01211	7.25497	6.598236	9.374108	6.095975	10.433769	7.106988	8.346053	9.34178	7.687126	7.210645	7.68796	7.761014	7.934811	6.854835	6.593382	9.774007	7.32187	7.07542	7.366225	7.65382	6.056809	7.608666	7.330053	7.034372	8.769197	7.025573	6.833435	6.446979	7.12636	6.835671	6.817205	6.921252	7.43893	7.422255	8.375549	7.338069	9.677595	9.602502	9.279598	11.636755	8.544716	8.605756	10.580414	7.585702	7.951718	4.589451	5.1129	6.770082	7.693116	7.103911	7.114564	10.287213	12.033142	9.649568	7.30208	9.414941	7.128493	7.947517	7.015275	8.585167	7.05992	6.856783	9.257199	6.307202	7.955737	8.786241	7.499405	6.905932	7.343514	11.121061	8.859357	9.119726	7.934381	7.107878	8.137501	7.428759	10.706627	6.508765	6.689626	6.448699	7.869354	10.709487	7.16592	7.387851	7.220564	8.063712	7.117375	9.182939	8.365647	8.021115	9.565656	8.910636	12.05062	6.814041	7.687537	6.443391	6.372163	7.153873	7.614864	7.361886	9.347376	8.302736	6.221319	6.571232	7.48331	6.990175	6.153154	10.611505	6.777489	7.834085	7.977389	6.813575	7.087005	7.559675	7.596595	7.902538	9.498917	8.561606	7.187768	8.467625	7.25628	7.419428	8.580359	6.086334	6.846658	9.462347	7.434655	7.029909	8.418701	8.814905	6.882205	8.827376	6.923627	6.303866	7.760639	9.178389	7.093116	8.095045	5.970096	4.751747	7.851659	5.883038	9.004237	6.692327	8.921352	7.491191	6.819678	7.416719	6.778225	7.123687	5.148212	7.903471	6.581206	6.342668	6.243748	5.808795	6.493771	7.92385	7.21175	6.492841
5.269587	10.337334	9.622225	5.534231	10.194803	6.738195	7.106501	9.615897	9.090914	7.48951	8.966895	10.709048	6.030509	10.212407	10.407586	7.888719	12.483275	8.416402	7.599841	8.389712	6.528523	8.619549	10.650213	7.943924	7.403773	7.068533	8.571355	7.400574	7.424259	8.829116	8.155757	7.221944	7.324674	8.820781	7.872564	7.832412	7.529924	9.96392	8.802677	8.585048	8.234688	6.971738	8.273882	7.567083	7.370054	7.175122	6.845656	6.943186	7.345752	7.275661	5.542126	8.493073	7.741904	7.290584	9.362876	10.31877	7.646871	8.27956	6.238435	6.747829	6.690672	9.863516	7.431216	6.488296	11.356527	5.69684	6.365767	9.403415	9.434075	6.258734	9.823049	6.023577	8.386368	9.27261	7.609694	7.39249	7.109132	7.154875	7.277138	6.746042	5.612072	10.791418	9.268186	6.1652	8.015507	7.936698	8.341802	7.335726	7.666132	7.45465	8.273844	6.074761	7.029975	6.174594	8.060873	6.608069	6.767556	6.597878	8.676601	7.732962	7.2838	5.975392	9.754007	7.840449	9.419451	11.462126	10.766145	9.369269	8.757075	8.487893	7.337693	6.980783	6.980983	6.327498	7.939703	9.170019	9.243724	12.054845	13.198777	10.81395	6.340326	7.123549	8.086458	7.300025	6.832964	8.073108	7.613682	7.736061	9.767983	5.987479	9.591997	9.087188	6.938726	6.202745	6.979191	11.559205	10.475291	10.076004	6.809901	5.941032	7.693111	7.420873	10.079779	6.781944	7.142709	6.427799	10.688746	9.677428	6.776111	7.745056	7.935218	10.758573	8.154238	9.165932	11.887095	6.964788	8.311022	8.119365	11.382541	6.120235	7.372413	6.198096	6.166519	6.138504	6.573886	6.918679	6.503693	10.302949	5.857255	7.504541	7.103801	5.446423	5.733361	9.929061	5.692855	7.396109	6.898356	6.562205	8.028482	6.729331	6.815194	7.222606	12.821704	8.379466	6.47082	9.152144	7.773631	6.710628	6.988121	5.892741	6.065346	10.541963	6.766801	7.94088	6.893933	9.078573	7.217054	7.050424	6.501864	5.814185	8.118636	11.877265	6.573073	8.609716	7.309806	7.441281	9.404001	6.805432	9.451827	6.573589	9.389751	6.570991	6.161028	8.284476	6.801013	5.812807	6.927515	6.25018	6.09496	7.218343	5.635848	6.113288	6.285547	7.233136	7.188187	6.912484
7.01884	8.880911	4.570232	8.567978	10.217829	8.562846	8.009704	11.220844	10.594492	10.241838	10.489862	9.224984	8.786353	9.690775	10.939708	9.961258	10.054247	8.626258	8.938298	9.781037	8.726388	9.810993	11.089908	12.321421	11.75148	9.117563	10.323693	8.879184	8.829197	9.956046	9.77951	8.132334	8.384244	9.565282	7.99257	9.148064	9.56957	7.476535	8.91142	9.14129	9.250185	9.998515	10.345244	7.370654	7.324737	7.655931	7.540136	8.735212	8.731495	8.056279	7.869739	10.065767	7.099865	10.226982	6.38489	6.597618	9.638964	10.517054	7.305845	9.745251	8.327452	10.831641	8.311404	8.236079	9.834176	6.143755	7.618495	5.325375	10.801048	6.117173	6.498222	9.251475	9.145547	6.427907	8.85577	8.206591	8.550343	7.779863	10.53332	7.252764	8.867101	6.316453	8.124032	8.042853	7.989238	8.753038	8.711028	9.436468	7.494096	7.202096	9.291404	8.463447	7.946032	6.974179	8.302317	6.557739	10.190633	8.433747	8.326778	8.077855	10.707232	9.204826	10.893156	9.426802	9.121179	9.235372	8.658898	8.745541	8.516528	9.224026	9.135974	4.452361	4.489653	7.79238	8.857097	6.246411	6.163559	8.91715	12.426474	8.950993	7.907218	8.771653	9.028619	9.699266	8.601418	8.464191	8.589843	7.815859	10.194998	5.649109	8.542709	10.58545	8.089714	7.628938	7.469829	9.127671	9.740716	8.782153	8.07945	8.185474	9.699028	7.620252	11.493459	6.72781	7.159076	7.24737	6.920613	8.111458	9.237488	6.457502	9.001648	7.078351	8.952996	10.821592	7.258167	9.066396	10.333079	8.697036	9.352134	7.513778	9.285299	8.664981	8.844164	8.106549	8.028855	9.464402	8.042964	6.549992	7.05841	6.441187	8.439564	8.719989	6.094299	6.622138	6.39465	8.956982	8.796273	8.949377	8.767299	9.093148	8.266916	7.73667	8.646172	8.37806	8.590071	7.469968	7.182023	8.499886	8.306028	6.58214	8.496348	8.671241	8.20446	6.933357	8.301382	7.951324	9.72686	8.413669	9.200226	9.156976	8.080806	7.50776	10.672508	6.007171	6.559947	5.023235	7.554487	6.858483	8.412688	8.786537	6.156533	7.710153	9.214724	6.399666	6.767837	8.243346	4.82109	8.222103	6.860727	6.421065	5.214396	6.775003	5.423315	8.689398	4.661888	6.349724
